onset_date,onset_time,peak_flux
2013-01-16,18:07:34,186.28065
2013-01-18,06:22:36,2203.6162109375
2013-01-19,04:07:38,4004.662353515625
2013-01-21,12:07:40,297.3456726074219
2013-02-03,10:37:41,411.8467712402344
2013-02-06,23:52:34,406.4108276367188
2013-02-08,02:22:35,531.77294921875
2013-02-26,09:37:39,182.1693420410156
2013-02-27,03:22:39,651.3963012695312
2013-03-09,17:37:38,258.0494689941406
2013-03-15,10:22:33,554.0516967773438
2013-03-16,22:37:30,35045.90234375
2013-04-11,06:52:37,17015.78515625
2013-04-13,14:37:39,5003.04248046875
2013-04-21,08:30:00,1064.9215087890625
2013-04-23,05:07:37,329.64044189453125
2013-04-24,22:07:30,386.5368347167969
2013-05-02,05:37:31,229.0329132080078
2013-05-13,10:07:32,404.0582275390625
2013-05-15,01:22:37,6822.22509765625
2013-05-17,07:37:30,97395.3671875
2013-05-22,13:22:33,32333.158203125
2013-05-23,02:07:41,142365.171875
2013-05-25,06:07:31,22049.689453125
2013-05-31,07:07:34,200.8349609375
2013-06-01,15:52:40,570.9844360351562
2013-06-21,06:07:37,237.7716064453125
2013-06-23,08:37:32,3707.03857421875
2013-06-28,10:37:36,311.78350830078125
2013-06-29,00:37:39,1413.4761962890625
2013-08-17,18:52:40,645.5205688476562
2013-08-21,01:00:00,878.0616455078125
2013-09-01,20:00:00,800.0
2013-09-02,06:07:30,1911.7962646484373
2013-09-29,22:37:39,4504.6572265625
2013-10-01,01:22:36,56949.7734375
2013-10-01,22:37:41,36320.98828125
2013-10-08,13:07:37,248.9047241210937
2013-10-22,22:00:00,1007.59716796875
2013-10-25,16:52:36,341.13726806640625
2013-10-26,12:00:00,1000.0
2013-10-27,12:00:00,1248.0135498046875
2013-10-28,05:00:00,43311.53125
2013-10-30,04:52:31,3438.091796875
2013-10-31,09:07:33,2064.865478515625
2013-11-02,06:22:36,1065.6851806640625
2013-11-04,07:52:39,293.4954833984375
2013-11-06,00:00:00,1701.2496337890625
2013-11-07,00:07:34,11541.0625
2013-11-08,01:52:37,857.1902465820312
2013-11-09,04:37:39,1389.3968505859375
2013-11-10,08:07:30,1194.5545654296875
2013-11-12,00:22:36,975.7893676757812
2013-11-13,09:22:40,1703.61962890625
2013-11-19,10:37:37,845.8579711914062
2013-11-19,23:52:41,584.9742431640625
2013-11-21,02:07:33,566.4276123046875
2013-11-23,07:22:30,183.3514862060547
2013-12-01,04:07:35,289.3334045410156
2013-12-07,08:07:34,342.4575500488281
2013-12-13,14:52:38,298.9853820800781
2013-12-13,23:22:33,593.8751831054688
2013-12-15,21:07:40,372.3091735839844
2013-12-15,23:07:35,372.3091735839844
2013-12-26,03:22:39,277.8399963378906
2013-12-28,03:37:31,309.4336853027344
2013-12-31,19:07:32,813.5761108398438
