event_no,onset_date,onset_time,peak_flux
3,2010-05-18,10:09:25.817000,30.30004119873047
4,2010-05-22,21:37:40.271000,53.651485443115234
8,2010-05-30,16:52:32.887000,60.43143844604492
11,2010-06-12,01:07:41.635000,2741.02490234375
12,2010-06-13,02:52:34.149000,1083.564208984375
13,2010-06-14,01:22:38.267000,359.6395568847656
14,2010-06-29,14:07:34.989000,161.1973419189453
15,2010-07-01,08:22:41.944000,324.7861633300781
16,2010-07-02,02:52:32.883000,546.4639282226562
17,2010-07-04,10:00:00,900
18,2010-07-05,18:07:30.429000,1083.0787353515625
19,2010-07-06,15:52:33.525000,1072.8980712890625
20,2010-07-10,14:07:33.075000,310.1326904296875
21,2010-07-13,18:37:54.358000,366.3877868652344
22,2010-07-14,17:37:32.542000,118.83492279052734
23,2010-07-17,11:52:41.141000,37.071720123291016
25,2010-07-19,12:52:34.819000,39.64265060424805
26,2010-07-26,21:37:30.380000,181.37684631347656
28,2010-07-30,12:52:30.370000,211.98117065429688
29,2010-08-01,12:07:36.757000,227.41404724121094
31,2010-08-02,08:52:40.296000,414.3695068359375
33,2010-08-03,11:52:31.247000,17290.791015625
35,2010-08-05,02:37:37.860000,616.1181030273438
36,2010-08-07,19:07:32.899000,220.89305114746094
37,2010-08-08,08:52:36.432000,188.34886169433594
38,2010-08-10,04:37:31.782000,174.82504272460938
39,2010-08-14,10:07:35.662000,2956.528076171875
40,2010-08-18,05:52:40.747000,7509.8349609375
43,2010-08-24,09:00:00,219.9532470703125
44,2010-08-25,02:07:33.034000,325.4237976074219
46,2010-08-31,21:22:38.260000,4449.35986328125
49,2010-09-05,19:30:00,1346.2059326171875
50,2010-09-06,19:22:35.889000,918.972900390625
51,2010-09-08,23:37:36.556000,171.4041748046875
54,2010-09-17,01:07:41.066000,39.600975036621094
58,2010-10-06,04:37:43.594000,30.965755462646484
59,2010-10-08,11:30:00,35.36159896850586
62,2010-10-16,18:37:41.956000,105.3517074584961
63,2010-10-17,09:07:40.307000,447.89288330078125
64,2010-10-19,06:52:37.356000,55.6766471862793
66,2010-10-22,10:07:34.027000,205.23695373535156
68,2010-11-02,04:37:34.413000,25.58843421936035
69,2010-11-04,19:07:36.568000,26.26775550842285
71,2010-11-07,12:22:40.396000,34.426239013671875
72,2010-11-15,14:52:33.271000,76.11103820800781
74,2010-11-21,05:52:35.208000,28.432601928710938
76,2010-12-01,16:07:39.325000,31.01344871520996
80,2010-12-12,06:37:34.970000,2003.0140380859375
