onset_date,onset_time,peak_flux
2014-01-02,04:37:37,588.52295
2014-01-04,18:37:31,958.3978881835938
2014-01-06,06:22:36,10298.43359375
2014-01-07,18:52:33,156421.40625
2014-01-20,23:07:40,573.2796630859375
2014-02-04,00:52:36,392.9734497070313
2014-02-05,23:07:40,281.8628234863281
2014-02-14,08:52:39,900.0
2014-02-15,10:52:30,1928.29296875
2014-02-16,10:52:34,615.2047729492188
2014-02-19,08:00:00,1500.0
2014-02-25,02:22:41,3053.962646484375
2014-02-28,00:00:00,81294.1640625
2014-03-15,13:22:37,478.4494934082031
2014-03-26,14:37:35,1162.8067626953125
2014-03-28,23:37:35,1697.3511962890625
2014-04-17,21:37:31,180.1987762451172
2014-04-18,11:37:32,6919.12353515625
2014-05-06,21:22:34,855.7742309570312
2014-05-22,06:52:38,199.5731506347656
2014-06-06,13:37:40,1537.1484375
2014-06-12,06:37:40,1000.0
2014-06-16,02:22:31,221.1681060791016
2014-06-17,12:37:40,2764.43310546875
2014-08-22,10:52:30,219.2335357666016
2014-08-25,15:52:35,438.5740966796875
2014-09-10,18:37:32,6899.74853515625
2014-09-11,21:07:31,17333.37890625
2014-09-22,06:00:00,400.0
2014-10-11,06:22:38,389.08587646484375
2014-10-19,17:22:35,226.7971954345703
2014-10-20,09:37:40,296.8353271484375
2014-10-24,08:22:36,221.2249450683593
2014-12-01,03:22:32,314.92852783203125
2014-12-05,23:07:31,489.0411987304688
2014-12-07,03:52:31,344.8365478515625
2014-12-08,00:07:31,402.4942321777344
2014-12-13,14:37:37,345.92242431640625
2014-12-19,08:22:30,687.7725830078125
2014-12-21,07:37:40,11267.0751953125
2014-12-23,08:37:39,32723.52734375
2014-12-26,06:22:38,5347.13525390625
2014-12-29,14:52:39,1965.1492919921875
