stat,,rmse_mean,rmse_mean,rmse_mean,rmse_mean,rmse_std,rmse_std,rmse_std,rmse_std
miss_percent,,10,20,50,80,10,20,50,80
method,axis,,,,,,,,
mean,time,145.4334323486072,147.0666085469676,146.5253716686882,146.75117452005722,4.448827634727544,3.574876375456016,1.556852848044925,1.828219355706268
mean,pitch_angle,141.07635742439683,143.66065667861858,152.02932942232852,170.49188356796682,3.3991638807582456,3.0747079512869533,2.53974189620798,2.544843973788006
fill_average,time,22.542039076151703,24.325463987927016,31.033221189180068,43.04712060270422,1.6851499055796124,1.383889023026012,1.312730760813799,2.122589688617346
fill_average,pitch_angle,55.545802188757264,65.50102989283823,106.78742821716436,157.47375210168107,3.326214143733144,3.060816330799853,3.645711141324796,3.444009859652672
interp,time,22.555098995318893,22.83147786291842,28.4909305761711,39.48776293677461,1.7353350919689388,1.1427291410464813,1.26123412777998,2.259348184780062
interp,pitch_angle,53.52884259972823,61.54536299716632,102.2036769914021,155.81053702270623,3.572684162476011,3.703022769398134,3.712372228375824,3.046662385932204
knn,time,43.00139053760277,55.88466633934068,92.46574556974554,103.03860032497116,2.760976081758275,3.3455687720470766,2.294117506959388,2.6979780243452813
knn,pitch_angle,122.3136192094384,131.67950828764072,150.97480859466225,171.38955455903667,4.775822391969218,2.9946756122530624,2.2052123993544783,2.2629160113624955
