stat,,rmse_mean,rmse_mean,rmse_mean,rmse_mean,rmse_std,rmse_std,rmse_std,rmse_std
miss_percent,,10,20,50,80,10,20,50,80
method,axis,,,,,,,,
mean,time,682.0952313660034,679.4533207577217,682.7194908586373,684.8105183512511,17.556981663560556,10.399481968907052,5.813643567802557,7.373937040837807
mean,pitch_angle,158.50887861181164,158.45864244307708,172.03703810039664,191.2248540036784,9.036393871647034,5.79747583627583,5.362886464597607,5.773704348104024
fill_average,time,40.73068121623326,43.66943221108056,56.42549622663913,81.05273628629443,3.419990704438268,2.587755976954792,2.4057445630565515,4.1434473686474265
fill_average,pitch_angle,74.72972105827644,80.53057322592169,117.57454006745854,174.15582074242906,4.510202093535819,4.696838550618955,8.286629912170895,7.515363935006709
interp,time,38.37916672227586,40.69888985173102,50.68506758351427,72.50237784333325,2.780643515181596,2.0788112126216576,1.6555815583688285,2.894838958381188
interp,pitch_angle,73.28357703616473,78.8548779243739,114.29481699869704,172.44836369496284,3.9690055715116936,4.272612476723003,6.411105246801002,8.748719374317306
knn,time,62.45011959354283,79.16972988280662,139.05118832198477,196.56564320747907,3.2301962430073186,7.625942303367176,7.846248461527371,15.090614602983925
knn,pitch_angle,133.30225105921386,145.67354028974057,169.89713266961627,193.99735898028422,11.834180174865212,9.177086658895984,6.893634034027524,6.610705187675982
