stat,,rmse_mean,rmse_mean,rmse_mean,rmse_mean,rmse_std,rmse_std,rmse_std,rmse_std
miss_percent,,10,20,50,80,10,20,50,80
method,axis,,,,,,,,
mean,time,3761.8921551499966,3782.427547334864,3779.153564012101,3776.702672737864,107.78835027236374,70.09356326449442,32.96820300614859,37.23822568100301
mean,pitch_angle,1996.3778180964457,2015.5639664923108,2152.1075046771984,2416.307523109071,90.06712305606712,57.40826470907233,39.544156810839866,52.458088821566434
fill_average,time,308.29139575815697,350.79205602410565,508.13747210380205,848.6681218301062,32.04910920092658,28.21683784403364,36.79131534173439,51.287293356258914
fill_average,pitch_angle,646.2421409743101,772.782185718993,1355.234965148784,2164.89768423064,63.24214791867364,57.95069803799403,76.70474390263452,65.37022370500884
interp,time,298.8196753058653,326.4639349642975,438.331661145997,735.7627991969592,27.952090677751883,23.87483789393056,34.06453234228804,64.02512623596084
interp,pitch_angle,616.0978530568916,717.9923574968055,1299.013605648995,2127.047133595489,57.61308283439108,55.41273918991896,70.35081851962691,69.83685348690655
knn,time,502.9214113092533,747.2103647675169,1729.531545054126,2198.793552559639,77.67471169724386,92.4413071754494,65.4508703626493,66.79956822677029
knn,pitch_angle,1643.8711858676363,1808.475866467944,2136.1684622289604,2415.3615290378903,88.42534512485277,58.42087822520002,43.58002433916263,52.297261014013145
