stat,,rmse_mean,rmse_mean,rmse_mean,rmse_mean,rmse_std,rmse_std,rmse_std,rmse_std
miss_percent,,10,20,50,80,10,20,50,80
method,axis,,,,,,,,
mean,time,75.61428413307829,77.96593699847845,79.28098341776358,79.97845832094167,8.20530578789302,8.065837065231214,2.811002226519633,3.9322443026260063
mean,pitch_angle,47.0551588972572,48.94794001098091,52.84926849185726,59.03702060916112,7.432011231598828,6.699435295335302,4.362780626812947,5.027611139633275
fill_average,time,9.736971836295158,10.628266109082317,15.52062987600076,29.63204623168344,1.985910676097663,1.467898763648804,3.601136027236834,6.377214939767674
fill_average,pitch_angle,17.709711751891515,22.96586676403544,35.17768019154772,51.88521243596675,3.17690512389768,6.045036294464179,6.506746458271737,6.368821719764917
interp,time,9.184246858762656,9.662310834674356,12.672753034088611,24.71577408331119,1.2823221784771432,1.1274277647706925,1.855027183269732,6.866256778478171
interp,pitch_angle,17.80432242819568,19.68860936964756,32.69428888184202,53.79260537636864,4.38520137923229,4.197636771829922,5.987948931428319,6.861714006098979
knn,time,27.29741502396857,36.33675128222681,45.30263244819585,54.52040318508434,11.139379300531148,9.486224991228328,5.184983557752962,4.340827671795769
knn,pitch_angle,39.61936977254962,44.48643405611149,51.94151524567408,58.694962507456346,9.03270325276321,7.538588543898408,4.312578470872676,5.613791337680159
