stat,,rmse_mean,rmse_mean,rmse_mean,rmse_mean,rmse_std,rmse_std,rmse_std,rmse_std
miss_percent,,10,20,50,80,10,20,50,80
method,axis,,,,,,,,
mean,time,120.56707274284592,118.31667390637772,119.89722693659398,120.18649274791288,10.383518357406263,7.208657123705785,3.239271711575741,3.219338698838491
mean,pitch_angle,71.64008607527957,70.38347377819792,75.94988756304514,86.2329938780822,8.57303960162141,6.528645184538311,5.603813478867677,6.995538979961923
fill_average,time,23.413045549465004,25.28966981272741,32.29090781393021,48.36635049102613,9.531335771884809,7.847116176161973,5.682579294903717,7.093466210581531
fill_average,pitch_angle,29.891274866354102,31.66420030753601,50.03595341192708,76.85380197766484,4.050192198413805,3.6133339477342976,7.118785145863888,8.175137632719643
interp,time,14.238221511957574,15.926187495896018,22.56461087536997,38.14199479565802,1.5358056428509266,3.611245920065453,4.509720523192546,8.092353194410412
interp,pitch_angle,28.70349790295367,30.41188196155392,49.961121341755096,76.1714573604306,2.8184765622493435,3.8353226650199135,9.983109182842448,8.933927334403993
knn,time,34.591196608348625,51.36223430470341,74.60999006840676,77.53791654803607,10.840334121226812,9.91218192076848,4.858063309634843,7.029718667859121
knn,pitch_angle,56.40259809914962,65.21759081976457,75.99177896134883,84.10863104590162,9.865593608211269,8.076545106184762,5.399950648750514,6.594975261027623
