stat,,rmse_mean,rmse_mean,rmse_mean,rmse_mean,rmse_std,rmse_std,rmse_std,rmse_std
miss_percent,,10,20,50,80,10,20,50,80
method,axis,,,,,,,,
mean,time,71.38813512279326,71.56115047745391,71.53898853307203,71.52791778480032,1.8113606334625656,1.372795326634816,0.696955387402852,0.7321433996330083
mean,pitch_angle,55.55808077609046,56.48194467112005,59.76843657421491,67.70358678430478,1.6346744286324209,1.3283064515654863,0.9676416123470436,1.1274300192926476
fill_average,time,23.188801974795748,24.727403253069973,29.316442805557543,35.882875978620035,1.5059973110318512,0.9277580661166792,0.6018518722658887,0.6895020572044919
fill_average,pitch_angle,42.667026890308186,45.11925800136181,54.39330506965582,66.00254273042019,1.5091408473553956,1.1764436821177822,1.1775429898772796,1.2969130791451149
interp,time,22.64985809589677,24.13336333874688,28.40260999933824,35.34469817588792,1.3634944128942663,0.7854292687077455,0.6836986182909461,0.7476675740755026
interp,pitch_angle,42.42558949151574,44.53398318831447,53.55176191964684,65.74088415982493,1.6112192480549814,1.348863220957227,1.2699787994483132,1.1736463594667617
knn,time,36.90062042277248,39.96354703510234,49.295764009636486,53.7916736226532,1.3426033825731785,1.0477197730798795,0.8768651093875923,1.353531771245266
knn,pitch_angle,51.858669371126354,53.75367996502126,59.59704908943648,67.07284175055953,1.7907993894941414,1.3846340187659083,0.8109465653237274,1.2704203612029816
