stat,,rmse_mean,rmse_mean,rmse_mean,rmse_mean,rmse_std,rmse_std,rmse_std,rmse_std
miss_percent,,10,20,50,80,10,20,50,80
method,axis,,,,,,,,
mean,time,763.6348770217833,761.4884254868379,763.0567099061343,765.292926642251,14.269633360760231,10.115213372645623,6.040927846394232,5.8857439781178
mean,pitch_angle,389.3697138708322,398.8699502516307,423.0738861450318,477.389429147499,15.390118464343333,10.551119660104035,8.159277976023345,9.972305905744784
fill_average,time,54.28570672730328,57.27139628943701,76.00966552134507,107.03169300678866,4.245045439429649,3.687675906188273,2.515537414353497,3.3561116571700365
fill_average,pitch_angle,174.6754666543067,215.6695785063864,337.535870607051,456.2463999665053,14.410003452352829,13.217300600736907,12.171129698777648,11.631490559912248
interp,time,50.51515785522672,53.72436324692714,68.87148387830314,96.9673451836304,3.0312785510973543,2.640444352946912,2.42055825432756,3.1054088621739435
interp,pitch_angle,173.57155766704753,202.8429297467356,331.3990996213929,453.6028941438843,15.619686029269523,15.064262697733708,14.089161719585938,12.82686650426334
knn,time,88.76616710990118,121.53033362217528,224.23526725095465,289.4261340801831,6.276516228717841,8.193930850106007,5.778459778873758,11.195210008872282
knn,pitch_angle,327.77687585997154,359.4086942338087,419.9678433372674,475.55542293769264,17.411423214607368,10.152141642991523,8.65691871133911,9.849696011115688
