stat,,rmse_mean,rmse_mean,rmse_mean,rmse_mean,rmse_std,rmse_std,rmse_std,rmse_std
miss_percent,,10,20,50,80,10,20,50,80
method,axis,,,,,,,,
mean,time,406.40013106537424,405.53046575300704,406.0383476896186,406.8226773812239,6.143430177004405,4.454272624082974,2.150587058905744,2.740230727213832
mean,pitch_angle,140.52528161958756,143.39160711241283,151.80899089253506,170.62773955480975,6.135011546135706,4.644365048194959,3.3406177746645658,4.0675323268305785
fill_average,time,30.06357413962833,32.38067047309095,41.24708169972284,59.00123040078808,2.845564002778284,1.9676286562039016,1.554970879626637,2.436204805616645
fill_average,pitch_angle,56.16499010884674,63.11283499714945,101.70356983016636,155.37754479981243,3.947591771191037,3.535573192858725,5.197357230592536,4.619328335725376
interp,time,28.934959088859536,30.61518937780829,38.13197371917625,55.09696177761504,1.9641781157021032,1.6402362140255882,1.4222906843701602,2.275058225295776
interp,pitch_angle,54.7029104575558,60.73009053495385,98.02108465824033,152.4928976932083,3.888317485407468,3.821448202125368,5.474100155253872,4.627955695467863
knn,time,45.03211540007559,54.852418568539655,102.86858477892076,132.3359696267976,2.49852797202284,3.189460667582025,4.287410633623598,4.248428476641387
knn,pitch_angle,116.7886774785257,128.9403297072793,150.66978628732844,170.0797664917046,7.119852287841477,4.686806701599302,3.353564049834605,4.683656481015142
