stat,,rmse_mean,rmse_mean,rmse_mean,rmse_mean,rmse_std,rmse_std,rmse_std,rmse_std
miss_percent,,10,20,50,80,10,20,50,80
method,axis,,,,,,,,
mean,time,75.50144900912755,75.09933036512282,74.93655888174803,74.93615845522045,3.5058636770940708,2.6532085259668765,1.0989201020068824,1.1396874350451776
mean,pitch_angle,52.58481227453444,52.82788808387675,56.14782616022622,63.02093468417644,2.761286105060054,1.7540468896646269,1.6078704013641,1.8990502107918743
fill_average,time,16.657873113474167,18.237081743919138,23.917945285732195,35.36211941089725,1.2081609880349784,0.9889857617636648,1.135730396265181,1.8083946367185968
fill_average,pitch_angle,31.600257577223843,34.01068759791605,44.43838008488096,59.1995696620432,1.7483944619207827,1.4414914580322638,2.293516435778132,2.490618923072078
interp,time,16.524181955801826,17.176076581275655,21.791321160044923,32.34243313236907,1.2729500117435593,1.108911705559522,0.9073527913019516,2.274383027116852
interp,pitch_angle,31.139757947567368,33.62820867466153,43.8012790769957,59.19872569623602,1.6750455567797444,1.7456434980136413,2.0716955422946155,1.8198623687308613
knn,time,29.45521201320851,35.28520347207633,53.13181544025187,57.81105890401814,2.206476752322565,2.027329108805118,1.879833749046148,2.04987758463082
knn,pitch_angle,46.1724770719654,49.8943485877009,56.23039647540756,62.94160130733406,3.069594113722927,2.332855739993465,2.005492004651648,1.7020079061972866
