stat,,rmse_mean,rmse_mean,rmse_mean,rmse_mean,rmse_std,rmse_std,rmse_std,rmse_std
miss_percent,,10,20,50,80,10,20,50,80
method,axis,,,,,,,,
mean,time,1379.3019005872463,1389.187815468909,1379.6822419223715,1364.984962839475,42.99341197211512,27.72257646966846,15.110117921559914,16.288228559956373
mean,pitch_angle,1284.0331084821044,1303.2178657800189,1395.4811706687606,1560.1231344107298,71.65577354251799,40.45990985309386,26.23510936038669,35.494447007205494
fill_average,time,103.0815624902998,113.21462942785024,164.30587572508404,282.1035585396527,12.476405929061652,12.530981823383874,10.613348750938,22.762137972658568
fill_average,pitch_angle,694.2495858259324,788.983777356745,1073.7516785464095,1453.498273777733,62.74264302549137,52.19544856400452,36.45723427907432,45.60675749142317
interp,time,96.45513062674308,107.00120685275884,142.11602682577302,237.4501280823401,12.976769808388292,9.177781769071744,9.824845467963144,22.90827204490941
interp,pitch_angle,690.7014030787103,785.2796847738537,1064.6129166015269,1441.8663583044688,54.87723352293537,38.38090470550919,37.6536692225998,42.6575738619237
knn,time,244.2666108953813,353.457380582666,603.9804499248435,757.2871282372143,37.25749009342432,30.26974220395521,26.21981309731653,31.877202650509588
knn,pitch_angle,1177.2019156994884,1233.052645948469,1392.2211680123312,1570.0878439914743,64.28701443528124,40.49403955241765,29.02660514556248,37.299879078313104
