stat,,rmse_mean,rmse_mean,rmse_mean,rmse_mean,rmse_std,rmse_std,rmse_std,rmse_std
miss_percent,,10,20,50,80,10,20,50,80
method,axis,,,,,,,,
mean,time,14456.733184342454,14431.174585787368,14456.855900707222,14442.244148926027,293.6748719772248,214.10279682177776,110.86424575419711,127.48418896568346
mean,pitch_angle,4952.877500012062,5019.398542013801,5333.272379323819,6027.781546786828,202.90698077690544,144.96908893002288,124.2372171686824,137.6953395602738
fill_average,time,529.1732117650355,604.5222191246382,825.9193798967951,1346.4481092806975,46.87799020978815,42.41838609561943,40.23688208377141,70.93765916240594
fill_average,pitch_angle,1806.8542418842649,2167.579712557087,3641.3689248467776,5504.823417211558,170.47235664123946,163.9783617944678,185.7663446206984,165.13756095360228
interp,time,498.06299911136034,543.0944519531386,727.5959215556364,1144.689624246139,48.60780803017588,38.218103872398,44.09420333991092,63.7890536552025
interp,pitch_angle,1778.7017095205454,2090.2377584608207,3507.068469003554,5410.992567321041,197.0654813733152,172.21527108334257,178.29280399473845,196.7459940876349
knn,time,892.3886412702491,1340.286547595074,3070.109305828587,4531.029991919278,92.81756982993156,124.00268304605284,147.68255965882736,282.9896527913496
knn,pitch_angle,4188.084707031302,4537.612188162789,5283.26784975524,6035.016799898902,256.5898413817064,169.37412793566597,111.5158173637573,136.9355789164765
