stat,,rmse_mean,rmse_mean,rmse_mean,rmse_mean,rmse_std,rmse_std,rmse_std,rmse_std
miss_percent,,10,20,50,80,10,20,50,80
method,axis,,,,,,,,
mean,time,238.08264690051448,233.87903172953165,237.91888867820649,237.82997770623663,26.73723541025617,17.989629470953624,8.808539262042348,7.962135024977356
mean,pitch_angle,200.7998910790712,202.1560690616332,215.9211324867844,245.1708966292142,19.942772134547383,15.062320666374111,10.56967661940239,13.064702400629942
fill_average,time,20.34300508342461,23.631568885022,32.73881519193688,61.73668623612854,3.241837343904185,3.679310941891401,4.310641961270041,13.084525845720483
fill_average,pitch_angle,52.43926609809149,68.72578797323027,133.7516701317682,215.44869387864887,11.07065993740934,17.29597427551195,18.421225180317112,14.95894625379689
interp,time,18.666056883323435,19.773450584219223,27.205494878621643,51.83099440820454,3.367274886468876,1.883903235062602,2.942962359255776,16.379760716261977
interp,pitch_angle,50.23176033848332,61.46656227586965,125.0303469159053,221.3523134198724,12.049154101388364,18.23127359669802,20.642456256883683,13.646454603517649
knn,time,76.69898237961864,130.4417856333987,204.84258331386783,211.64099878519443,29.59950025369666,25.130775137553,13.507464162991676,12.775799835319336
knn,pitch_angle,166.2559333603748,183.58968029442948,214.3103248027484,243.3505394796093,22.913857779148834,17.180345338239242,10.711029242759809,13.67723818434858
