stat,,rmse_mean,rmse_mean,rmse_mean,rmse_mean,rmse_std,rmse_std,rmse_std,rmse_std
miss_percent,,10,20,50,80,10,20,50,80
method,axis,,,,,,,,
mean,time,6841.728509424961,7672.766610906346,9697.64643925434,10630.35099944199,10483.834899530631,8359.364553297322,5561.859973275346,3785.5450561076145
mean,pitch_angle,8262.982519093644,9218.010952553843,12342.659484668533,12591.921625399387,8153.229272441296,6467.983282988569,3733.234149732688,3750.289164583359
fill_average,time,5742.143055644036,6645.779687812898,10719.480670865776,12104.520685373915,7497.524848760159,7441.77224941594,4394.127025601418,3899.3888141866364
fill_average,pitch_angle,9399.59039042837,10527.188063462516,14934.812480362969,14626.099693957327,10820.101742875388,8235.630701637145,4657.497454402202,5962.081038646284
interp,time,4857.706467205832,6199.978052177907,9967.455577657263,12077.50217309783,6185.996457024987,6467.2257705909315,4612.99339755315,4429.636214120346
interp,pitch_angle,8184.653602343164,11674.68417003301,14730.36023703777,14756.531810351553,10062.504251274746,8895.428216420823,4292.478760415763,5647.397313960337
knn,time,8119.980873401979,10543.436302293449,11439.433390654367,11653.036421964227,7295.431989276934,5748.551518358265,3348.9398704674372,3375.629654938418
knn,pitch_angle,5689.548473483242,10274.80529673115,12685.5880568998,12950.039599195274,9572.766527097485,7848.300775145068,4233.1437613097405,4086.1202556403837
