stat,,rmse_mean,rmse_mean,rmse_mean,rmse_mean,rmse_std,rmse_std,rmse_std,rmse_std
miss_percent,,10,20,50,80,10,20,50,80
method,axis,,,,,,,,
mean,time,100.34096597534766,100.04415054801429,100.22579945972493,100.62181586019928,3.9565211555172,2.693118379315276,1.1638567533841653,1.0693576952250243
mean,pitch_angle,86.65639608472645,87.255152608421,94.13936295211418,105.16197596673652,4.144511141393596,2.214816018005496,1.426266185145607,1.950331109630487
fill_average,time,46.29997588178176,48.568331623399246,58.96605352389708,72.52448822577243,3.123761273604751,2.1171845296543066,1.989529934687202,2.026264316448752
fill_average,pitch_angle,88.41102651517305,88.53012928127468,93.6869073741006,105.25251097318076,3.71126041069292,2.6706014497142307,1.6440253564250369,2.192051880237828
interp,time,45.17725976143771,47.30621368772161,56.111999874438055,71.80317262826877,2.8396810174304856,1.896004051371368,1.8238410956404387,1.9889932227542144
interp,pitch_angle,88.02041551274175,88.61150430911154,94.1906995242838,105.5975601045477,3.8090350214222783,2.4909364678125403,1.536691341357108,1.8755062756087293
knn,time,76.42813090292688,80.30775259225359,88.45909311559957,93.112282800083,3.5482464213874736,2.592998890802149,1.3128599354472092,1.442297355130438
knn,pitch_angle,86.32178620456327,86.94567178897171,93.80256556460148,105.30976427761797,3.848566535217286,1.8838394984173303,1.297555796864416,2.479723452127662
