stat,,rmse_mean,rmse_mean,rmse_mean,rmse_mean,rmse_std,rmse_std,rmse_std,rmse_std
miss_percent,,10,20,50,80,10,20,50,80
method,axis,,,,,,,,
mean,time,86.36801447468352,86.55700218824877,86.5412413064816,86.58064633615464,2.311827617560075,1.7903881743042378,0.7494733011075195,0.7895099024569753
mean,pitch_angle,115.00945387388636,116.53706298429474,123.8227079768604,139.2985397216673,3.0772417820190268,2.2236565471354157,1.6030825756372324,1.855139180537514
fill_average,time,25.80572074006115,27.736146105514948,35.132544595756684,45.78358639493158,1.5373097430971383,1.059470548972781,0.8603437433352356,1.2173678275331878
fill_average,pitch_angle,57.35137499110823,61.85981312415651,89.74228825268764,129.26515313746992,2.0701727015518148,1.7403463570496616,2.440908521261346,2.181760927970909
interp,time,24.885003027488374,26.74063322500139,33.1358200068247,43.760954480780775,1.5227109539228394,1.2561163850921506,1.0522658086214505,1.233255014904915
interp,pitch_angle,56.98072306970591,60.41235233640471,86.00110597932714,127.29064381063525,2.080517540618017,2.2127513718901453,2.6691961904273103,2.7714079653907078
knn,time,44.79239075962089,52.01734512126267,73.47479381125827,79.08531318998689,1.779873287334289,1.8953173402889356,1.343573711867686,1.3905590633382263
knn,pitch_angle,95.81628929919643,105.45001995925863,123.03482162513323,139.28263010429973,3.093478409484165,2.1390584977715243,1.5116839736462317,1.902984256022782
