stat,,rmse_mean,rmse_mean,rmse_mean,rmse_mean,rmse_std,rmse_std,rmse_std,rmse_std
miss_percent,,10,20,50,80,10,20,50,80
method,axis,,,,,,,,
mean,time,52.843995088575646,52.79130015117568,52.91130245676087,52.98231294592651,1.4075897015189718,0.7663338437303612,0.4549049569389141,0.4844937340549666
mean,pitch_angle,39.44370232497904,40.006090681731855,42.64579128029558,48.070500198660845,1.2615184774492794,0.8773963114925142,0.6641478774838231,0.7326347747729784
fill_average,time,20.25543302082611,20.70089422250183,24.39231382831931,29.39668748431022,1.4215140060223896,0.8629513485267374,0.5094934204462109,0.4716625164720543
fill_average,pitch_angle,34.15632402836852,35.37258864358733,39.79634123607104,46.762662633538326,1.1631884439160272,1.0668312466464345,0.7866569285900199,1.017281558767499
interp,time,19.39453120510197,20.09323736471432,23.770366832888044,29.024135693260003,1.2308409619069836,0.9876420548591274,0.5268399588234258,0.7119729214293465
interp,pitch_angle,34.55776464358715,35.444652693760816,39.55182086415418,46.65071637237463,1.4639973963965256,0.9527004783816884,0.6453523601523034,0.9523701668707828
knn,time,30.93587436063009,33.159561844014185,39.88909926594991,42.479676576458814,1.0487011112412037,0.9231470721270196,0.722411148507526,0.7645281777315249
knn,pitch_angle,37.10507753272122,38.53457464456621,42.60595968704044,47.89648247914881,1.329744299891627,0.6902588547767652,0.7139945409963252,0.8730264132950957
