stat,,rmse_mean,rmse_mean,rmse_mean,rmse_mean,rmse_std,rmse_std,rmse_std,rmse_std
miss_percent,,10,20,50,80,10,20,50,80
method,axis,,,,,,,,
mean,time,7043.866668063993,7021.138976712184,7030.316160679519,7043.044995696532,165.10653652188623,121.00662443717388,67.87288007990932,61.81387607419706
mean,pitch_angle,3697.388610960462,3754.356973170944,3971.429324788925,4469.5144104717565,100.07920244247356,65.64403062939749,56.57886175053413,71.89505431816512
fill_average,time,488.4796685703459,546.9639108943877,778.7526575240703,1292.367334958162,36.941170848769495,33.42716489344258,33.291555990811695,54.15083640780721
fill_average,pitch_angle,1202.2717351953686,1443.0209912172736,2566.520386593872,4007.454761821298,56.94597018935652,76.04392246791961,95.31884951198128,91.31030655666096
interp,time,461.8684981642575,511.15319920174073,689.9469051846869,1113.7058661469089,30.62765915673576,31.244294064302,31.929745377258232,54.11710007533272
interp,pitch_angle,1160.206830504732,1340.602771941299,2424.3515697133744,3966.061006752938,71.23968129289158,92.42245123042592,115.85720564206808,90.9903792975485
knn,time,891.8806916365588,1302.1387541796296,2759.7465215944885,3496.498108944388,90.68646367002184,89.19161930419664,86.93918695383967,191.8471734517119
knn,pitch_angle,3046.8051348889385,3352.915113253113,3946.798212061017,4465.714491348848,105.38023133917744,99.11773608938994,62.16051393154732,69.28458506142121
