stat,,rmse_mean,rmse_mean,rmse_mean,rmse_mean,rmse_std,rmse_std,rmse_std,rmse_std
miss_percent,,10,20,50,80,10,20,50,80
method,axis,,,,,,,,
mean,time,57.42430640389389,57.638953989827954,57.76813023200388,57.761140694630825,1.7592026381134345,1.1951786447317778,0.6567922473443139,0.5998508001925438
mean,pitch_angle,50.72791921524682,51.25877929525754,54.2442794493344,60.95423275053932,2.234233658549779,1.4703989830160111,0.9920696414519132,1.150022607375253
fill_average,time,15.958646337551407,17.3902490574986,21.299953901027333,26.78265771477202,0.7718090603494495,0.7671131952076268,0.6575907596623104,0.6300205381228009
fill_average,pitch_angle,34.423388621707794,37.08291628129425,48.18098000236475,60.11273285967032,1.545422643359644,1.462323497214534,1.4573860048032965,1.3677032820325816
interp,time,15.8898485581736,16.61158516580454,20.40262410991815,26.2675923353805,0.8199726400897016,0.8304921937112391,0.6237133230178724,0.6970207829657106
interp,pitch_angle,33.99309793117091,36.18129176391115,46.86195261318037,59.39742765844114,1.9969032212951523,1.5728939731740084,1.6994584140997764,1.189278030512574
knn,time,26.365752169798967,29.451961995896124,43.21994169692233,47.75120550478713,1.103555199227382,1.142910323281257,1.0951783595662092,1.188135542679729
knn,pitch_angle,44.78585243157078,47.898171272416064,54.19711993373891,61.29693762411521,1.566648780943949,1.7015237842560518,1.015625448527965,1.1529435722071364
