stat,,rmse_mean,rmse_mean,rmse_mean,rmse_mean,rmse_std,rmse_std,rmse_std,rmse_std
miss_percent,,10,20,50,80,10,20,50,80
method,axis,,,,,,,,
mean,time,2889.5345943392936,2913.7929661507,2912.7011190207536,2923.9907463881304,88.12072724783863,69.95053076522572,26.5856564427965,25.642204622311432
mean,pitch_angle,2648.297278480484,2654.2201731681307,2820.9503305461344,3168.0338430101574,121.8385523191716,92.59541086891493,58.46108537633209,76.81191263955253
fill_average,time,138.06011869600982,155.67747025300895,218.15989504166464,357.44819737657394,18.84430189633201,12.09062659221958,16.136828434133662,34.35764738296037
fill_average,pitch_angle,1156.7005768920171,1469.5787065128836,2293.863987994434,3046.054504047795,120.56123027730143,114.21339484377546,87.70006745183521,83.6769315450591
interp,time,127.78159123177748,141.82000283483947,186.0143557167844,295.140462509713,14.907768086978315,15.69694231605984,13.134046104278962,24.65884477149724
interp,pitch_angle,1132.410796547534,1378.9218621461107,2230.251636500612,3024.9522423973303,130.5250231360802,163.71167437189314,85.02267142254843,86.36412220210826
knn,time,267.83259461354044,457.1010363765978,1217.7713338551011,1563.471795644047,59.415664331985326,65.13094056836889,53.36298045652662,54.35695164924672
knn,pitch_angle,2237.387429668766,2428.185331924541,2811.0061139137933,3173.455202863292,134.2514635602668,86.34268862692554,64.84499438496088,78.9307468221818
