stat,,rmse_mean,rmse_mean,rmse_mean,rmse_mean,rmse_std,rmse_std,rmse_std,rmse_std
miss_percent,,10,20,50,80,10,20,50,80
method,axis,,,,,,,,
mean,time,92.09615181685808,92.21536721372787,92.1455677081582,92.92694061322614,8.341582645222365,5.556089730457475,2.4958924290334865,2.8152101521180795
mean,pitch_angle,70.08314197088615,72.55495660228405,76.90373184746954,86.2517152550275,7.796041827221821,5.47201265599371,3.591848992566768,4.206881561134992
fill_average,time,13.306114069508402,13.9998374554735,17.685744193915802,27.13046518687895,0.9922544250180012,0.7390838168367618,1.264049244222825,4.047666520398243
fill_average,pitch_angle,31.875216163623875,36.76642921820301,55.3897930566175,79.8299020118213,5.978173744584009,5.317981807552309,5.326318068566648,4.980347865368305
interp,time,12.886818507312611,13.522671693127297,16.464346043720713,24.354740202422125,0.9320501963253304,0.792460273720919,1.1335183168466911,3.9068950806790816
interp,pitch_angle,31.27236279206133,35.15012241475324,54.31236960097774,80.14229959202953,5.673365283533737,5.198304823164103,5.185570173513698,4.68428988411292
knn,time,32.31952392652901,46.618106871523,63.76369360166303,68.747198539489,6.122499273609846,6.091561673992244,3.98266677662972,3.390939943094266
knn,pitch_angle,62.4727809244714,66.70576367062674,76.27328787585564,86.70882767008405,7.06060453307026,5.893303796157242,3.111617502135476,4.712963982060274
