stat,,rmse_mean,rmse_mean,rmse_mean,rmse_mean,rmse_std,rmse_std,rmse_std,rmse_std
miss_percent,,10,20,50,80,10,20,50,80
method,axis,,,,,,,,
mean,time,19638.966694470368,19930.912441321463,19499.10122353007,19706.243313577324,2471.3037849866582,1477.3255670097951,1021.8553282426658,702.6829044905948
mean,pitch_angle,19990.655683153,20114.034372552287,21555.1887340463,24195.92446743608,2575.8077069558462,1688.2453418708806,1406.553657969488,1702.744008033816
fill_average,time,1228.8195388341423,1428.8373590819954,2660.6612936299007,6879.984096271526,309.8774353914595,344.42493297698894,768.0020157601125,1995.59902459994
fill_average,pitch_angle,6804.668438638207,8338.282020193692,14975.041177156674,21697.477266502738,2202.363813044334,2235.419706973405,1676.284176724386,1502.3244265831506
interp,time,1092.4264459860226,1203.7442323560435,1802.7584289083409,4694.118700164795,216.72975953723704,225.83910604525693,396.25289764333104,1773.0686920523308
interp,pitch_angle,6409.69512017435,7740.71652524886,15101.58176218397,21601.209486272182,2514.189985455498,1899.94561962353,2072.309076155047,1773.7002558310742
knn,time,8651.614155807056,13091.906557281318,15982.656916183065,17565.879430915615,3160.027398294044,1985.8178962210304,1592.529126749897,944.7653021218592
knn,pitch_angle,17218.15780946039,18407.53236256754,21121.42492282319,23923.82503570503,3009.3459142782435,1896.7030417416163,1432.4503710796118,1717.0746839751007
