stat,,rmse_mean,rmse_mean,rmse_mean,rmse_mean,rmse_std,rmse_std,rmse_std,rmse_std
miss_percent,,10,20,50,80,10,20,50,80
method,axis,,,,,,,,
mean,time,340.0391667098928,340.5868122920417,342.2723981662049,343.08737036417443,13.730125568156986,12.370085196415976,5.8113473765066,4.820915386850756
mean,pitch_angle,465.4463742772864,468.3033479785711,496.12878532701006,560.9670057455475,17.70429179957841,11.000742591577191,9.540767423793806,11.477684498568264
fill_average,time,38.79240849362996,42.933646878486,58.14234130498207,86.11530923263781,3.0010257117335413,3.0585291762651035,3.49662232688066,5.27550212057352
fill_average,pitch_angle,122.8700770267328,153.13761579183628,307.64340023690414,502.4418962522048,17.349438498827332,14.748661667570776,18.308960274647912,15.30224477327083
interp,time,37.914677519364126,39.37929436015947,52.12145341487744,78.95740455275903,2.884956341670712,2.4496046003108622,3.6490871331615353,4.881763487199928
interp,pitch_angle,109.83288350153845,143.6105181622497,297.16318274276824,496.703694676305,11.170861928197798,14.173993881017992,20.240826445930395,12.392552966318949
knn,time,70.42143751222957,127.726865119803,231.25949207732995,237.4619740333304,7.640808694417806,13.006077453776925,9.485112081235055,11.248643022834289
knn,pitch_angle,381.2088593526259,416.2525256416409,491.8696838787103,559.923782650696,17.07713904736029,13.259001221696652,10.478084931714683,9.744051036712612
