stat,,rmse_mean,rmse_mean,rmse_mean,rmse_mean,rmse_std,rmse_std,rmse_std,rmse_std
miss_percent,,10,20,50,80,10,20,50,80
method,axis,,,,,,,,
mean,time,10546.929724688476,10552.668741083582,10581.602635069,10625.75757055905,192.5867705983565,108.99516728739574,60.42524483150834,59.85491894637909
mean,pitch_angle,4629.812819109994,4730.649974149945,4989.101815183101,5663.567321040719,276.9812468224455,219.5578395026465,120.46778120650302,169.70535433546908
fill_average,time,386.6757591917338,446.65126790493656,650.0767236639485,1090.385142245036,42.44401934206925,38.77815531744074,45.182395502018174,77.91119055120375
fill_average,pitch_angle,2063.761968663659,2489.6591766902006,3745.8360353479234,5207.901882187489,283.10714968418193,255.720713099529,185.5744931418629,177.1651415076743
interp,time,389.7428020196301,410.7623038040651,572.7633089678676,925.8705937683568,50.92772191549324,32.43721551883007,39.60203807526221,64.25623034318605
interp,pitch_angle,2036.403074023293,2382.562826191243,3709.281770985039,5164.175926299431,247.5153374951786,270.3394780297368,196.1544210078173,204.59749450961576
knn,time,706.9339352683076,985.6371236898922,2250.427823165692,3184.904842672022,102.88965018639009,93.74976495162156,110.3535504655105,160.54859472376594
knn,pitch_angle,4104.583073802615,4341.185646353192,4962.690899224694,5630.409601728575,321.9243356153281,212.44836328934585,118.46617928231028,181.77002192317553
