stat,,rmse_mean,rmse_mean,rmse_mean,rmse_mean,rmse_std,rmse_std,rmse_std,rmse_std
miss_percent,,10,20,50,80,10,20,50,80
method,axis,,,,,,,,
mean,time,352.64031499431434,352.2689742749018,353.7310914236446,354.05206519242324,7.06277102305664,4.3870660116237055,2.3317326519962966,2.763030816266532
mean,pitch_angle,212.1529996295561,215.3627992658689,230.13708884874325,258.70770733262543,7.855815784257996,5.5289996954959335,4.318254900024986,6.757626161243225
fill_average,time,29.460408524534245,31.45501574652834,43.99057145451362,70.27242522997766,2.21494105077845,2.140398893482178,1.9363943273768425,4.167372889404624
fill_average,pitch_angle,71.35688915940689,84.44211743352456,149.7292246637859,234.3207227874032,7.782182043569351,7.459435987232987,6.471024190673661,6.352114286927044
interp,time,27.850890329080936,29.682032889844773,39.88289696447946,62.4105269340422,1.9893105212268007,1.57072015117992,2.44361172523507,3.973696087791148
interp,pitch_angle,66.95620113573206,78.93589433570958,143.2826890401675,230.88087206834672,4.981318972746814,6.644823178089793,6.97270520572444,7.52203177949781
knn,time,53.27369584472052,73.71176144688512,134.71696116646893,160.07645498331843,4.6848366065808085,4.717152388790142,4.569765692792346,4.334177318693339
knn,pitch_angle,176.54088699662668,194.61654527386537,228.69839802161823,258.2637260287392,7.858219520881154,6.112506938253135,4.400461183119745,4.909842102008262
