stat,,rmse_mean,rmse_mean,rmse_mean,rmse_mean,rmse_std,rmse_std,rmse_std,rmse_std
miss_percent,,10,20,50,80,10,20,50,80
method,axis,,,,,,,,
mean,time,9171.630278430612,11549.660108759816,17410.010483441885,22200.192525192324,24408.39992712564,22236.36296688645,17654.649105940054,14589.665666484976
mean,pitch_angle,17605.365020135952,17746.121308402282,26619.690077368683,26748.48096818164,27651.1524902041,19369.62608453036,11688.069615774142,16170.933207691862
fill_average,time,11704.956454081785,17807.280341486785,21359.23862283589,26482.80709020885,26680.734836366257,24568.79238794639,16567.974820211028,13473.469808695743
fill_average,pitch_angle,12364.374362933451,27257.2249816627,36100.45051037203,32357.16006205364,26532.65228879607,27407.861512087416,15731.291437929383,18587.82010301652
interp,time,24482.40421944893,12893.028105374902,28003.11823715144,25530.33231024259,34091.244967350736,22256.88838975685,14994.03225238969,14659.704302810736
interp,pitch_angle,16595.149774090627,24062.74089800249,32042.21214357411,28721.520107851986,27486.87834064703,27661.407442804182,15565.957110822588,20591.586939000965
knn,time,11081.284498143785,20183.640398847,26171.9327888614,22218.43372780707,24972.74720674684,24512.26121907448,13378.162533009368,15239.394928681097
knn,pitch_angle,21050.25875718451,21559.010429857248,30167.664391174854,28321.505097149828,30467.902218166302,20925.22288858272,11972.154527565484,20402.55997143679
