0
20120102-153731
20120122-030734
20120123-032232
20120127-183733
20120226-190740
20120313-170741
20120402-102242
20120405-010733
20120407-055234
20120411-055234
20120423-005245
20120423-230730
20120507-133750
20120514-085238
20120517-005247
20120526-205234
20120601-223739
20120617-082239
20120702-185236
20120703-210736
20120704-170736
20120705-225234
20120706-232233
20120708-173732
20120712-165241
20120714-082239
20120720-035232
20120728-220737
20120802-113736
20120831-203739
20120901-065235
20120903-112239
20120919-040000
20120926-000918
20120928-000738
20120930-120000
20121001-042237
20121006-055238
20121008-152239
20121009-080740
20121010-000741
20121108-113739
20121111-182240
20121113-160832
20121118-040733
20121120-120000
20121121-045234
20121124-140000
20130118-062236
20130121-120740
20130203-103741
20130309-173738
20130411-065237
20130421-083000
20130423-050737
20130424-220730
20130502-053731
20130517-073730
20130522-132233
20130523-020741
20130525-060731
20130623-083732
20130628-103736
20130629-003739
20130817-185240
20130821-010000
20130901-200000
20130902-060730
20130929-223739
20131001-012236
20131001-223741
20131022-220000
20131025-165236
20131026-120000
20131027-120000
20131028-050000
20131030-045231
20131031-090733
20131106-000000
20131107-000734
20131109-043739
20131113-092240
20131119-103737
20131121-020733
20131123-072230
20131201-040735
20131207-080734
20131213-232233
20131215-230735
20131231-190732
20140102-043737
20140106-062236
20140107-185233
20140120-230740
20140204-005236
20140205-230740
20140215-105230
20140216-105234
20140219-080000
20140225-022241
20140228-000000
20140315-132237
20140326-143735
20140328-233735
20140417-213731
20140418-113732
20140506-212234
20140606-133740
20140612-063740
20140616-022231
20140617-123740
20140822-105230
20140825-155235
20140910-183732
20140911-210731
20140922-060000
20141213-143737
20141221-073740
20141226-062238
20141229-145239
