event_no,onset_date,onset_time,time_min,time_max
1,2023-01-13,02:17:14.460999,2023-01-12 20:31:44.461000,2023-01-13 19:31:44.461000
2,2023-01-13,02:17:14.460999,2023-01-12 20:31:44.461000,2023-01-13 19:31:44.461000
3,2023-01-13,02:17:14.460999,2023-01-12 20:31:44.461000,2023-01-13 19:31:44.461000
4,2023-01-13,02:17:14.460999,2023-01-12 20:31:44.461000,2023-01-13 19:31:44.461000
5,2023-01-13,02:17:14.460999,2023-01-12 20:31:44.461000,2023-01-13 19:31:44.461000
6,2023-01-13,02:17:14.460999,2023-01-12 20:31:44.461000,2023-01-13 19:31:44.461000
7,2023-01-13,02:17:14.460999,2023-01-12 20:31:44.461000,2023-01-13 19:31:44.461000
8,2023-01-13,02:17:14.460999,2023-01-12 20:31:44.461000,2023-01-13 19:31:44.461000
9,2023-01-13,02:17:14.460999,2023-01-12 20:31:44.461000,2023-01-13 19:31:44.461000
10,2023-01-13,02:17:14.460999,2023-01-12 20:31:44.461000,2023-01-13 19:31:44.461000
11,2023-01-13,02:17:14.460999,2023-01-12 20:31:44.461000,2023-01-13 19:31:44.461000
12,2023-01-06,01:30:11.577000
13,2023-01-06,19:30:02.583000
14,2023-01-07,22:36:23.013000
15,2023-01-07,23:30:10.645000
16,2023-01-09,21:30:01.895000
17,2023-01-06,01:30:11.577000
18,2023-01-06,19:30:02.583000
19,2023-01-07,22:36:23.013000
20,2023-01-07,23:30:10.645000
21,2023-01-09,21:30:01.895000
22,2023-01-10,00:18:09.935000
23,2023-01-13,18:30:00.271000
24,2023-01-13,18:31:44.461000
25,2023-01-18,08:30:06.129000
26,2023-01-19,07:30:09.688000
27,2023-01-19,07:30:25.885000
28,2023-01-20,21:30:04.021000
29,2023-01-25,09:31:05.036000
30,2023-01-25,09:30:05.619000
31,2023-01-25,09:30:09.260000
32,2023-01-29,03:30:07.120000
33,2023-01-29,03:32:53.909000
34,2023-01-06,01:22:41.577000
35,2023-01-06,18:52:32.583000
36,2023-01-07,23:43:53.013000
37,2023-01-07,23:52:40.645000
38,2023-01-09,21:52:31.895000
39,2023-01-10,00:10:39.935000
40,2023-01-13,19:22:30.271000
41,2023-01-13,19:22:30.271000
42,2023-01-13,19:24:14.461000
43,2023-01-13,19:22:30.271000
44,2023-01-13,19:22:30.271000
45,2023-01-13,19:22:30.271000
46,2023-01-13,19:22:30.271000
47,2023-01-13,19:22:30.271000
48,2023-01-13,02:07:30.271000
49,2023-01-13,19:22:30.271000
50,2023-01-13,02:17:30.271000
51,2023-01-13,19:37:30.271000
52,2023-01-12,23:32:30.271000
