method,n_neighbors,10,20,50,80
knn,1n,554.2470182939563,1153.619567834193,2049.650884692001,2260.340749091873
knn,5n,404.1072741307611,762.0410644270846,1573.3429012683127,1823.054665826945
knn,10n,361.43166550136925,694.7556935374083,1476.9599836010543,1947.8366762539968
knn,15n,363.4601078463067,666.4131917286986,1435.7269496511428,2311.0122332025267
knn_with_traintest,1n,1824.305467273481,2201.8242646094345,2943.7686808698663,4646.608677493299
knn_with_traintest,5n,1403.9078108252606,1810.0135551634853,2830.7874782840445,4224.356502046094
knn_with_traintest,10n,1376.587805853741,1816.4525979036944,2847.007294516968,4124.344705145712
knn_with_traintest,15n,1411.1781245672862,1797.2565204561954,2819.019809831886,4192.5513761677485
