method,n_neighbors,10,20,50,80
knn,1n,109.14729362752864,184.8369816075945,311.5253596648093,345.892319110562
knn,5n,91.3258824327295,122.3472031147286,223.951811466741,286.1146435684227
knn,10n,94.57580102114312,117.63422677623863,207.79067599294527,332.9861458914096
knn,15n,98.91588977562064,118.05787178491242,202.3718970000665,418.6157459257119
knn_with_traintest,1n,314.3842918367272,321.0775890196879,543.7208475086754,785.1721146536084
knn_with_traintest,5n,283.55917349802826,281.8247815216132,444.2554963994713,599.6131391546915
knn_with_traintest,10n,250.6805564641973,261.5546633058422,401.659223111253,527.2819557359499
knn_with_traintest,15n,242.90159400316853,255.58364110217704,386.6024540398261,517.0479124781723
