method,n_neighbors,10,20,50,80
knn,1n,50.01681308748985,69.8086649533547,87.76828148071878,91.14126898353425
knn,5n,36.13746600287766,48.75193539023854,70.05850395236679,73.74703023751826
knn,10n,34.90552848318622,44.65466223747966,66.50245666783445,73.59657293740688
knn,15n,35.216079810478064,42.846515362081256,65.09833140562985,77.39957818098598
knn_with_traintest,1n,55.300376711028605,110.11222007783404,121.37946824000448,164.8751917229604
knn_with_traintest,5n,47.6066607935536,57.07321049667547,87.09558965536195,131.28554168189413
knn_with_traintest,10n,46.22037915273765,51.73343165898909,80.19508351998289,122.16399862169813
knn_with_traintest,15n,45.830952086101725,51.10208389218509,79.1117663682656,120.61230812637812
