method,n_neighbors,10,20,50,80
knn,1n,76.22218833417274,110.7390385092925,188.47034408545832,213.8916385225418
knn,5n,63.36396538810658,78.71867252132571,139.84218608860013,195.8272394131396
knn,10n,65.39041768780685,75.81492398257437,132.50483639330326,265.31123546738684
knn,15n,68.4104751458992,78.15025247372503,130.61429986219304,357.9518346403843
knn_with_traintest,1n,151.4316770966987,158.77344784506633,386.2080406690257,611.6514670342655
knn_with_traintest,5n,96.87921297327593,154.4505015975921,247.44281154615555,416.345264477836
knn_with_traintest,10n,92.13297180433707,111.37832921668372,211.6334512411537,349.55967587787046
knn_with_traintest,15n,90.37739047293373,100.28882983935657,190.0473696696122,317.3527825457995
