method,n_neighbors,10,20,50,80
knn,1n,20.76007738879116,27.05049719914246,36.77554865540404,40.13372947362684
knn,5n,16.90561261851334,19.50867608977597,27.616596158043805,31.887070109731148
knn,10n,16.855221732560057,18.815653882434745,26.01913581645625,32.33577918852953
knn,15n,17.021116397470283,18.46625612523535,25.162373653836063,33.98527106433058
knn_with_traintest,1n,38.61449763025426,37.25297551336912,74.55773022982578,81.56505232980057
knn_with_traintest,5n,29.378977760267745,30.832053100222776,56.175572419512925,66.87686643701603
knn_with_traintest,10n,29.1349553029181,29.67729948826668,48.32670783137682,66.54893807880194
knn_with_traintest,15n,28.52336815664965,29.71498005163064,45.429794153054736,63.89300543874594
