method,n_neighbors,10,20,50,80
knn,1n,33.772218377579364,44.12097014344292,60.72016342138009,64.92278726812296
knn,5n,27.54989105179984,31.376319638128653,46.727766226854776,52.53803636522292
knn,10n,27.20132475916272,29.92178651074384,43.79570053759674,53.91880574386892
knn,15n,27.301828945115385,29.551603661451136,42.83310299173091,57.416112714661224
knn_with_traintest,1n,45.748926636431634,49.95336752291633,71.17298316908101,105.02354156791117
knn_with_traintest,5n,35.51189441587428,39.63362103017515,56.66789691737474,82.46742389555381
knn_with_traintest,10n,33.17141056905782,37.21077898071767,52.41285423038498,86.97222431555424
knn_with_traintest,15n,32.874570150988774,36.317610929157,51.20674675095455,78.14736884200673
