method,n_neighbors,10,20,50,80
knn,1n,368.38564734295227,540.2351045190167,947.9535104703618,1107.310303696433
knn,5n,329.24045071011795,403.2128821136324,691.9111580788683,1000.5545976539336
knn,10n,353.34905581612,416.0884552017225,649.4244726332505,1341.185627984856
knn,15n,386.0472447309603,441.7647447596869,652.6607977779305,1784.7448480079574
knn_with_traintest,1n,859.9157123022185,888.6601064935406,2896.4125928775816,4459.426747602177
knn_with_traintest,5n,747.3875100582367,774.9716137280351,1936.268752741823,3530.789163875632
knn_with_traintest,10n,713.1725812206538,762.0167819704302,1764.475275370077,3034.0862305382966
knn_with_traintest,15n,706.1336656679152,743.1940068191889,1717.749648640474,2897.9986582139595
