method,n_neighbors,10,20,50,80
knn,1n,885.8771894746246,1397.5957187755246,2149.503148602875,2406.081035365872
knn,5n,781.8717545047575,1161.2839642255435,1746.812987542815,2188.809778918137
knn,10n,943.4392328873014,1162.876561641822,1733.0763406059689,2469.0284099681253
knn,15n,1030.41510715631,1271.497679977626,1726.384963909055,2860.5136101131993
knn_with_traintest,1n,2706.665730379124,2945.1643914890687,4010.409077257969,5594.265763162601
knn_with_traintest,5n,2684.0514671893748,2827.904942653869,4434.30244163954,5927.707722552957
knn_with_traintest,10n,2669.2927397242074,2803.7910773279145,3959.733378291717,5435.989869068886
knn_with_traintest,15n,2678.00088161271,2826.7574324913253,3830.12941169872,5337.99334163002
