method,n_neighbors,10,20,50,80
knn,1n,5224.753316627777,15771.25960518182,23641.82452685622,23610.699690158734
knn,5n,19027.56196761686,20851.01798098566,20263.73768582686,21413.968396160708
knn,10n,13097.969853198008,17916.4915033379,20146.954433007744,21042.357086054464
knn,15n,15342.665720642275,17132.20482902155,17915.006405239837,18375.18893746644
knn_with_traintest,1n,1129.4599795432744,5159.985182897764,21411.266278439896,19948.61255372869
knn_with_traintest,5n,995.497881195547,5105.781442040586,21153.98225923688,19618.2420755817
knn_with_traintest,10n,1022.9666559729068,5091.8325707624645,21107.280412907472,19324.46394469781
knn_with_traintest,15n,1025.1405045724416,5073.352289427669,21099.704057189923,19283.927031081304
