method,n_neighbors,10,20,50,80
knn,1n,28.56205945563688,36.64185064706658,47.598936869005726,52.64215060349564
knn,5n,23.464265613563093,26.59516290556175,35.218277136377054,41.44871512227837
knn,10n,23.04168116451909,25.68794946588095,33.203922817334,46.88917878450128
knn,15n,23.63361356028273,25.448303665318296,32.2139571350534,58.556510781767955
knn_with_traintest,1n,44.36468855135659,44.277585661173326,67.60282302194966,38435.99512931899
knn_with_traintest,5n,34.94507867116888,37.68529200811698,51.76863314357549,7687.361938179287
knn_with_traintest,10n,33.279312421990994,35.08941655220481,49.26233232477398,3843.9752565815634
knn_with_traintest,15n,32.490189137583165,33.614031595950365,48.64145538808168,2562.994798251173
