method,n_neighbors,10,20,50,80
knn,1n,211.50909071649207,335.65248970800343,498.2278659586485,547.5046182060403
knn,5n,170.40505833312034,235.25756934038293,382.9266805163856,461.6601418363896
knn,10n,176.97906044316474,228.4833561660228,361.4862387816266,541.5777594509516
knn,15n,187.5082828381388,227.1725739466487,356.1880418545807,629.6056333041723
knn_with_traintest,1n,455.54617539178656,586.0991855102283,1367.2715150161796,2145.131576631504
knn_with_traintest,5n,397.5543544794496,438.3710989318447,1391.1904595170497,1766.3339098704266
knn_with_traintest,10n,386.7982474255294,430.2903171691477,1082.1249115022206,1483.6201716072956
knn_with_traintest,15n,379.2773457568167,424.1478120226709,927.7840990491896,1372.820296812278
