method,n_neighbors,10,20,50,80
knn,1n,179.36007304454216,363.6502098656184,691.14985769822,764.8176587819928
knn,5n,145.7258177008896,280.5464503068788,548.5899057917936,706.8392862127475
knn,10n,155.03481261411122,268.9611434198864,548.2856557800909,818.5924680559436
knn,15n,158.23180049769036,280.73277947955944,560.1822961294215,934.4301249317363
knn_with_traintest,1n,199.5798259659961,256.83069080182173,762.4355434274887,1118.284448663437
knn_with_traintest,5n,193.72753535923675,255.54960524998808,626.4966711528018,1042.5236614333107
knn_with_traintest,10n,228.7790388071562,288.9296411918742,566.6309357987407,1040.3534341655834
knn_with_traintest,15n,271.1227871696264,309.3887056462518,571.2238234936314,1035.4454587666958
