method,n_neighbors,10,20,50,80
knn,1n,36.70889778907016,39.27461547749808,41.36105941942949,43.548426485173465
knn,5n,29.060604260508875,30.365804267174408,32.83254890462072,34.23624698514307
knn,10n,28.56901934314396,29.19124167258903,31.477904842632043,33.28214075038471
knn,15n,28.23400689501637,28.907654944114,31.209467508280223,33.42326583904213
knn_with_traintest,1n,51.50402825504046,50.77237876551375,151.4273195337408,33322.92492119419
knn_with_traintest,5n,39.11818637788152,38.759046849653735,59.30418876644192,6664.00329936303
knn_with_traintest,10n,35.75799752426709,35.52491574864715,52.610422848665046,3331.891268592108
knn_with_traintest,15n,34.828999563505704,34.6347930476086,47.18971582537048,2221.318843044961
