channel,energy
0,18.95 - 35.18 keV
1,27.98 - 51.96 keV
2,46.13 - 85.66 keV
3,75.58 - 140.37 keV
4,126.49 - 234.91 keV
5,215.29 - 399.82 keV
6,359.72 - 668.06 keV
